Product ID,Date,Demand Store ID,Sales Quantity,Demand Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments,Inventory Store ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Pricing Store ID,Pricing Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
4277,2024-01-03,48,330,24.38,No,Festival,Competitor Pricing,Increasing,Regular,44,10,4,10,19,2024-04-15,1504,8,95,31.25,54.64,22.15,207,1,18.61,1.38,1.28
5406,2024-01-11,67,429,24.83,Yes,Holiday,Economic Indicator,Decreasing,Premium,89,296,2,10,128,2024-11-28,3169,6,90,10.22,14.24,40.19,268,1,17.19,9.11,2.23
5617,2024-04-04,17,298,13.41,No,,Economic Indicator,Stable,Regular,30,807,26,17,195,2024-11-20,3533,9,20,87.52,54.64,49.52,328,1,15.77,1.2,1.79
5617,2024-04-04,17,298,13.41,No,,Economic Indicator,Stable,Regular,86,356,28,12,42,2024-05-19,1966,1,20,87.52,54.64,49.52,328,1,15.77,1.2,1.79
7315,2024-11-25,9,336,59.54,Yes,Festival,,Stable,Premium,49,493,14,11,69,2024-03-18,4380,11,96,86.49,16.88,11.8,428,4,14.8,8.44,0.51
2902,2024-11-13,58,475,35.61,No,,,Increasing,Budget,70,792,10,14,192,2024-07-21,3693,12,69,63.03,40.26,40.3,410,4,18.71,1.97,1.37
2902,2024-11-13,58,475,35.61,No,,,Increasing,Budget,70,792,10,14,192,2024-07-21,3693,12,88,52.06,59.22,20.47,24,1,14.89,4.72,2.29
4497,2024-10-25,33,388,33.53,No,,Economic Indicator,Increasing,Premium,90,971,26,0,113,2024-12-01,4653,10,92,39.5,99.39,0.35,389,4,13.19,7.69,2.01
4497,2024-10-25,33,388,33.53,No,,Economic Indicator,Increasing,Premium,81,732,2,12,176,2024-03-16,4241,1,92,39.5,99.39,0.35,389,4,13.19,7.69,2.01
3900,2024-05-13,36,434,31.01,Yes,,Economic Indicator,Increasing,Regular,16,145,5,3,198,2024-11-10,3288,6,81,98.5,86.36,44.84,34,1,12.41,7.23,0.87
3900,2024-05-13,36,434,31.01,Yes,,Economic Indicator,Increasing,Regular,4,211,26,6,153,2024-01-22,2554,2,81,98.5,86.36,44.84,34,1,12.41,7.23,0.87
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,80,563,22,0,154,2024-05-11,2431,4,55,33.67,78.4,47.32,305,1,5.48,4.15,2.21
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,80,563,22,0,154,2024-05-11,2431,4,29,72.31,34.98,41.76,320,4,12.22,5.21,1.18
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,62,913,13,18,23,2024-05-01,4338,5,55,33.67,78.4,47.32,305,1,5.48,4.15,2.21
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,62,913,13,18,23,2024-05-01,4338,5,29,72.31,34.98,41.76,320,4,12.22,5.21,1.18
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,69,336,10,18,49,2024-02-25,1333,4,55,33.67,78.4,47.32,305,1,5.48,4.15,2.21
6894,2024-04-01,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget,69,336,10,18,49,2024-02-25,1333,4,29,72.31,34.98,41.76,320,4,12.22,5.21,1.18
7767,2024-07-06,44,397,15.8,Yes,Festival,Competitor Pricing,Stable,Budget,91,132,9,12,38,2024-04-23,3540,11,29,7.35,60.1,46.74,397,1,11.19,7.08,0.74
7767,2024-07-06,44,397,15.8,Yes,Festival,Competitor Pricing,Stable,Budget,27,338,11,11,57,2024-05-16,3712,9,29,7.35,60.1,46.74,397,1,11.19,7.08,0.74
