Product ID,Mean_Daily_Demand,Demand_Std_Dev,Total_Sales_Records,Mean_Supplier_Lead_Time,Lead_Time_Std_Dev,Current_Reorder_Point,Current_Stock_Levels,Warehouse_Capacity,Mean_Price,Mean_Storage_Cost,Elasticity_Index,Shortage_Penalty
1000,237.33,23.1,3,18.5,2.5,54.0,682.0,1593.5,75.2,3.42,1.52,112.8
1001,234.33,192.72,3,18.33,2.05,118.33,630.33,3411.33,99.07,1.63,1.51,148.6
1003,400.0,10.0,1,17.0,1.5,132.0,652.0,3912.0,46.08,5.13,1.98,69.12
1008,304.0,121.31,5,18.33,5.91,95.67,566.33,3667.33,77.59,2.43,0.52,116.38
1013,336.5,126.5,2,7.0,1.5,37.0,519.0,4975.0,17.3,9.1,1.29,25.95
1014,311.0,171.0,2,7.0,1.5,161.0,407.0,3288.0,38.52,4.89,1.25,57.78
1017,124.0,104.0,2,28.0,1.5,78.0,879.0,1769.0,65.37,6.52,2.21,98.06
1027,226.0,10.0,1,26.0,1.5,120.0,394.0,3320.0,18.52,2.8,0.5,27.78
1030,336.5,79.5,2,28.0,1.5,12.0,92.0,1983.0,69.74,3.31,1.84,104.61
1034,322.0,10.0,1,20.0,1.5,162.0,855.0,3755.0,97.4,7.22,1.64,146.1
1035,223.75,101.9,4,15.33,2.49,101.67,760.67,4130.67,71.75,5.17,1.89,107.63
1040,163.0,10.0,1,10.0,1.5,28.0,15.0,3470.0,92.28,9.92,1.81,138.42
1049,360.0,135.38,3,15.0,5.0,124.0,552.0,3873.5,21.84,8.29,0.95,32.77
1051,158.0,10.0,1,14.5,2.5,71.5,537.5,3983.0,46.26,3.47,0.67,69.4
1056,190.0,127.09,3,9.0,1.0,100.5,307.0,1840.5,53.86,1.17,1.54,80.79
1057,455.0,10.0,1,25.0,1.5,95.0,573.0,4979.0,76.06,6.92,1.32,114.09
1059,314.0,137.0,2,14.5,4.5,185.5,641.5,4347.5,33.94,4.4,2.12,50.92
1063,430.5,19.5,2,17.5,4.5,170.0,554.0,3102.5,78.82,1.41,0.65,118.23
1067,315.5,19.5,2,14.0,1.5,49.0,373.0,1760.0,45.12,8.36,1.49,67.67
1072,298.0,10.0,1,11.0,3.0,99.0,565.5,4188.0,76.36,8.75,1.4,114.53
1073,173.0,152.0,2,22.0,1.5,80.0,695.0,2851.0,80.56,5.47,1.86,120.83
1075,320.5,175.5,2,8.67,7.59,135.0,228.0,2081.67,79.96,5.5,1.84,119.94
1083,138.0,10.0,1,2.0,1.5,122.0,935.0,2215.0,12.08,2.72,2.08,18.12
1084,328.5,146.5,2,13.0,10.71,160.67,721.33,4085.33,67.69,4.23,1.51,101.53
1085,263.0,10.0,1,2.0,1.0,106.0,558.0,2447.5,12.3,7.62,1.57,18.46
1089,307.0,83.0,2,16.5,2.5,97.0,327.0,2294.5,23.23,3.11,1.28,34.84
1090,242.0,154.18,5,11.0,8.0,95.5,540.5,2567.0,58.62,3.06,2.18,87.93
1098,268.0,10.0,1,13.0,1.5,127.0,683.0,3069.0,41.14,4.38,1.47,61.7
1099,206.25,141.23,4,8.5,6.5,59.5,284.5,2007.0,63.67,3.82,1.56,95.5
1100,247.0,47.0,2,26.0,1.5,42.0,479.0,3295.0,10.29,3.93,0.99,15.43
